Rating,Review_title,Review_comment,Hotel_site
4,fine stay with gorgeous views of two lakes,beautiful view friendly helpful staff,Arba Minch
4,Superb,arrived told booking recieved didnt include lake view however booking disagreed staff customer friendly next day lake view room available switched u room great standard best placed ive stayed ethiopia pool great clean not evening activites like live music,Arba Minch
4,Highly recommend! Worth a visit.,fantastic view wonderful service staff friendly polite attentive english limited thing difficult communicate,Arba Minch
5,Exceptional hotel in beautiful location,much like hotel setting looking forest lake mountain stunning service first class every member staff eager please mr getasew particularly impressive ensured stay enjoyable possible nice choice breakfast room comfortable spotlessly clean stress importance booking lake view room much part experience hotel watching sunrise balcony real highlight cannot recommend hotel enough say must stay place arba minch anyone interested touring perfect stay short break people wishing relaxation beautiful location enjoy longer leisure facility quality hotel area top accommodation hard find communication via amessages booking com not usual standard need tweaking,Arba Minch
4,An excellent experience! Would recommend for anyone but smokers :D,almost everything one place smoking paying thing always bit slow,Arba Minch
4,Very good,really satisfied enjoy thanks haile resort bad environment,Arba Minch
5,Exceptional,amazing location star customer service,Arba Minch
5,Excellent Service!,breakfast great treatment care shown staff phenomenon nice hotel closer lake overall everything great,Arba Minch
4,"Amazing service, good facilities and good staff ensured my stay was enjoyable.",staff provided exceptional service entire experience pleasant including food facility amazing pool not working time bummer entire stay ended going swim paradise lodge,Arba Minch
4,It was very great.,everything perfect expected room forest pool side view not,Arba Minch
4,Very good,view food quality room without working phone call reception,Arba Minch
4,Superb,fair enough,Arba Minch
4,Out of town escapade to unwind,location ambience nothing negative particular,Arba Minch
5,Amazing,loved resort everyone nice friendly room super clean view resort super gorgeous food good wifi bit spotty slow everything else great,Arba Minch
3,Good,lovely location comfortable room waiter restaurant seemed try hard sweet service rather slow,Arba Minch
3,Good,beautiful location view wildlife gym limited activity terrible internet,Arba Minch
2,Disappointing,disappointed reseved bed side lake see nothing veiw,Arba Minch
4,Very good,good,Arba Minch
4,Very good,good,Arba Minch
5,Exceptional,exceptional,Arba Minch
4,Superb,superb,Arba Minch
4,Very good,good,Arba Minch
4,Very good,good,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,exceptional,Arba Minch
4,Superb,superb,Arba Minch
5,Exceptional,exceptional,Arba Minch
4,Very good,good,Arba Minch
5,Exceptional,exceptional,Arba Minch
4,Very good,good,Arba Minch
4,Very good,good,Arba Minch
5,Exceptional,exceptional,Arba Minch
4,Very good,good,Arba Minch
4,Superb,superb,Arba Minch
5,Exceptional,exceptional,Arba Minch
4,Very good,good,Arba Minch
4,Superb,superb,Arba Minch
5,Exceptional,exceptional,Arba Minch
4,Superb,superb,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,exceptional,Arba Minch
4,Very good,good,Arba Minch
4,Very good,good,Arba Minch
4,Exceptional,exceptional,Arba Minch
5,Exceptional,exceptional,Arba Minch
2,Passable,passable,Arba Minch
3,Good,good,Arba Minch
3,Pleasant,pleasant,Arba Minch
3,Pleasant,pleasant,Arba Minch
3,Good,good,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,exceptional,Arba Minch
5,Exceptional,exceptional,Arba Minch
4,Superb,superb,Arba Minch
4,Very good,good,Arba Minch
4,Very good,good,Arba Minch
4,Very good,good,Arba Minch
4,Superb,superb,Arba Minch
4,Superb,superb,Arba Minch
4,Very good,good,Arba Minch
4,Superb,superb,Arba Minch
4,Very good,good,Arba Minch
5,Exceptional,clean hotel also staff nice friendly great experience room beautiful comfortable,Gondar
4,A pleasant experience,excellent hotel staff not enough shuttle pick make way seemed reluctant pick called,Gondar
4,Really was a new feeling,view stuff facility food not much,Gondar
4,My stay was comfortable.,breakfast good staff courteous room need exterminator bug bathroom resort need renovation repair work,Gondar
4,Very good,like view front hotel time water time light,Gondar
