Rating,Review_title,Review_comment,Hotel_site,Sentiment_score,Sentiment,Review,Topic,Topic_Label
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Fabolous,fabolous,Addis Ababa,0,Positive,Fabolous fabolous,0,Room Quality and Comfort
4,Very good,good,Addis Ababa,0.4404,Positive,Very good good,2,Reception and Check-In Experience
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Very good,good,Addis Ababa,0.4404,Positive,Very good good,2,Reception and Check-In Experience
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
4,Very good,good,Addis Ababa,0.4404,Positive,Very good good,2,Reception and Check-In Experience
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Very good,good,Addis Ababa,0.4404,Positive,Very good good,2,Reception and Check-In Experience
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Very good,good,Addis Ababa,0.4404,Positive,Very good good,2,Reception and Check-In Experience
